Election,county_category,DEM,REP,REP_Margin
Governor,Rural (Small),26.161352036897497,68.51843648284898,42.357084445951486
Governor,Suburban (Medium),25.989333496911247,68.9109966966525,42.92166319974126
Governor,Urban (Large),33.18965404368237,60.83903818354777,27.649384139865404
President,Rural (Small),41.94242609085945,59.34132390349868,17.398897812639234
President,Suburban (Medium),35.98054669350828,62.23519527034552,26.25464857683724
President,Urban (Large),41.93378390007838,56.035779265105376,14.101995365026994
Senate,Rural (Small),29.600732980379565,39.20894991239628,9.608216932016713
Senate,Suburban (Medium),34.02806659227818,36.21106559423429,2.1829990019561123
Senate,Urban (Large),35.30635559084377,35.64235409173452,0.3359985008907458
